soccode,soctitle,onetcode,onettitle,occupation,freq,source
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,DOG DAYCARE ATTENDANT,21,ONET-DUP
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,ANIMAL CAREGIVER,19,DMTF
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,DOG BATHER,18,DMTF
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,ZOO KEEPER,15,ONET-DUP
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,DOG BOARDER,13,ONET-DUP
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,BATHER,11,ONET-DUP
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,PET CARE ASSOCIATE,11,ONET-DUP
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,WILDLIFE REHABILITATOR,11,ONET-DUP
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,KENNEL OPERATOR,9,ONET-DM
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,CAT SITTER,8,ONET-DUP
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,ANIMAL CARE ATTENDANT,7,ONET-DUP
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,PET CARETAKER,6,ONET-DUP
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,KEEPER,3,ONET-DUP
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,MOBILE PET GROOMER,2,ONET-DUP
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,ANIMAL CARE GIVER,1,DMTF
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,ANIMAL SHELTER WORKER,1,DMTF
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,ANIMAL SITTER,1,DMTF
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,GROOMING ASSISTANT,1,ONET-DUP
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,HORSE RIDER,1,ONET-DUP
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,PET CARE WORKER,1,ONET-DUP
39-2021,Nonfarm animal caretakers,39-2021.00,Nonfarm Animal Caretakers,WALKER,1,ONET-DUP
39-3011,Gaming dealers,39-3011.00,Gaming Dealers,TABLE GAMES DEALER,109,DMTF
39-3011,Gaming dealers,39-3011.00,Gaming Dealers,CASINO DEALER,97,DMTF
39-3011,Gaming dealers,39-3011.00,Gaming Dealers,POKER DEALER,82,DMTF
39-3011,Gaming dealers,39-3011.00,Gaming Dealers,BLACKJACK DEALER,25,DMTF
39-3011,Gaming dealers,39-3011.00,Gaming Dealers,CARD DEALER,15,ONET-DUP
39-3011,Gaming dealers,39-3011.00,Gaming Dealers,GAMES DEALER,6,ONET-DUP
39-3011,Gaming dealers,39-3011.00,Gaming Dealers,21 DEALER,4,DMTF
39-3011,Gaming dealers,39-3011.00,Gaming Dealers,CROUPIER,3,ONET-DUP
39-3011,Gaming dealers,39-3011.00,Gaming Dealers,CASINO GAMES DEALER,2,DMTF
39-3011,Gaming dealers,39-3011.00,Gaming Dealers,CRAPS DEALER,2,DMTF
39-3011,Gaming dealers,39-3011.00,Gaming Dealers,BLACK JACK DEALER,2,ONET-DUP
39-3011,Gaming dealers,39-3011.00,Gaming Dealers,ROULETTE DEALER,1,DMTF
39-3011,Gaming dealers,39-3011.00,Gaming Dealers,DUAL RATE DEALER,1,ONET-DUP
39-3011,Gaming dealers,39-3011.00,Gaming Dealers,GAMING DEALER,1,ONET-DUP
39-3011,Gaming dealers,39-3011.00,Gaming Dealers,GAMING HOST,1,ONET-DUP
39-3019,"Gaming service workers, all other",39-3019.00,"Gaming Service Workers, All Other",PIT CLERK,4,DMTF
39-3021,Motion picture projectionists,39-3021.00,Motion Picture Projectionists,PROJECTIONIST,49,ONET-DM
39-3021,Motion picture projectionists,39-3021.00,Motion Picture Projectionists,AUDIOVISUAL TECHNICIAN,12,ONET-DUP
39-3021,Motion picture projectionists,39-3021.00,Motion Picture Projectionists,CHIEF PROJECTIONIST,1,DMTF
39-3021,Motion picture projectionists,39-3021.00,Motion Picture Projectionists,MOTION PICTURE PROJECTIONIST,1,DMTF
39-3021,Motion picture projectionists,39-3021.00,Motion Picture Projectionists,BOOTH MANAGER,1,ONET-DUP
39-3021,Motion picture projectionists,39-3021.00,Motion Picture Projectionists,BOOTH OPERATOR,1,ONET-DUP
39-3021,Motion picture projectionists,39-3021.00,Motion Picture Projectionists,FILM CREW MEMBER,1,ONET-DUP
39-3031,"Ushers, lobby attendants, and ticket takers",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",USHER,240,DMTF
39-3031,"Ushers, lobby attendants, and ticket takers",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",FLOOR STAFF,112,ONET-DUP
39-3031,"Ushers, lobby attendants, and ticket takers",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",EVENT STAFF,55,ONET-DUP
39-3031,"Ushers, lobby attendants, and ticket takers",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",CONCESSIONIST,17,ONET-DUP
39-3031,"Ushers, lobby attendants, and ticket takers",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",VISITOR SERVICES ASSOCIATE,12,ONET-DUP
39-3031,"Ushers, lobby attendants, and ticket takers",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",THEATER USHER,9,DMTF
39-3031,"Ushers, lobby attendants, and ticket takers",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",VISITOR SERVICES ASSISTANT,7,ONET-DUP
39-3031,"Ushers, lobby attendants, and ticket takers",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",LOBBY ATTENDANT,5,DMTF
39-3031,"Ushers, lobby attendants, and ticket takers",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",VISITOR SERVICES COORDINATOR,5,ONET-DUP
39-3031,"Ushers, lobby attendants, and ticket takers",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",VISITOR SERVICES REPRESENTATIVE,2,ONET-DUP
39-3031,"Ushers, lobby attendants, and ticket takers",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",VOLUNTEER SERVICES SPECIALIST,2,ONET-DUP
39-3031,"Ushers, lobby attendants, and ticket takers",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",ATTRACTIONS ASSOCIATE,1,ONET-DUP
39-3031,"Ushers, lobby attendants, and ticket takers",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",EVENT ATTENDANT,1,ONET-DUP
39-3031,"Ushers, lobby attendants, and ticket takers",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",PROGRAM ATTENDANT,1,ONET-DUP
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,ASSISTANT,2082,ONET-DM
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,RIDE OPERATOR,38,DMTF
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,PARK ATTENDANT,17,ONET-DUP
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,CADDIE,15,ONET-DUP
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,GYM ATTENDANT,10,ONET-DUP
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,ARCADE ATTENDANT,6,DMTF
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,GOLF CADDIE,5,ONET-DUP
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,ICE RINK ATTENDANT,4,DMTF
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,RECREATION PROGRAMMER,4,ONET-DUP
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,RIDE ATTENDANT,4,ONET-DUP
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,COACH DRIVER,3,ONET-DUP
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,BOWLING ALLEY ATTENDANT,2,ONET-DUP
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,DESK MONITOR,2,ONET-DUP
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,TOW OPERATOR,2,ONET-DUP
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,1,DMTF
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,GOLF CADDY,1,DMTF
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,RIDES ATTENDANT,1,DMTF
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,SKI LIFT ATTENDANT,1,DMTF
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,SKI LIFT OPERATOR,1,DMTF
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,LANE ATTENDANT,1,ONET-DUP
39-3091,Amusement and recreation attendants,39-3091.00,Amusement and Recreation Attendants,RECREATION CLERK,1,ONET-DUP
39-3092,Costume attendants,39-3092.00,Costume Attendants,COSTUMER,126,ONET-DUP
39-3092,Costume attendants,39-3092.00,Costume Attendants,WARDROBE STYLIST,37,ONET-DM
39-3092,Costume attendants,39-3092.00,Costume Attendants,WARDROBE SUPERVISOR,16,DMTF
39-3092,Costume attendants,39-3092.00,Costume Attendants,WARDROBE ASSISTANT,11,DMTF
39-3092,Costume attendants,39-3092.00,Costume Attendants,COSTUME TECHNICIAN,11,ONET-DUP
39-3092,Costume attendants,39-3092.00,Costume Attendants,WARDROBE ATTENDANT,4,DMTF
39-3092,Costume attendants,39-3092.00,Costume Attendants,COSTUME SHOP MANAGER,4,ONET-DUP
39-3092,Costume attendants,39-3092.00,Costume Attendants,WARDROBE MANAGER,4,ONET-DUP
39-3092,Costume attendants,39-3092.00,Costume Attendants,WARDROBE TECHNICIAN,3,ONET-DUP
39-3092,Costume attendants,39-3092.00,Costume Attendants,COSTUME SPECIALIST,1,ONET-DUP
39-3092,Costume attendants,39-3092.00,Costume Attendants,WARDROBE SPECIALIST,1,ONET-DUP
39-3093,"Locker room, coatroom, and dressing room attendants",39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",GYM SUPERVISOR,3,ONET-DUP
39-3093,"Locker room, coatroom, and dressing room attendants",39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",LOCKER ROOM ATTENDANT,2,DMTF
39-3093,"Locker room, coatroom, and dressing room attendants",39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",LOCKER ROOM MANAGER,2,DMTF
39-3093,"Locker room, coatroom, and dressing room attendants",39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",PUBLIC AREA ATTENDANT,2,ONET-DUP
39-3093,"Locker room, coatroom, and dressing room attendants",39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",CLUBHOUSE ATTENDANT,1,ONET-DUP
39-3093,"Locker room, coatroom, and dressing room attendants",39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",COAT CHECK ATTENDANT,1,ONET-DUP
39-3093,"Locker room, coatroom, and dressing room attendants",39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",FITTING ROOM ATTENDANT,1,ONET-DUP
39-4011,Embalmers,39-4011.00,Embalmers,EMBALMER,20,ONET-DUP
39-4011,Embalmers,39-4011.00,Embalmers,FUNERAL DIRECTOR/EMBALMER,5,ONET-DM
39-4011,Embalmers,39-4011.00,Embalmers,APPRENTICE EMBALMER,4,ONET-DUP
39-4011,Embalmers,39-4011.00,Embalmers,EMBALMER APPRENTICE,2,DMTF
39-4011,Embalmers,39-4011.00,Embalmers,FUNERAL SERVICE LICENSEE,1,ONET-DUP
39-4021,Funeral attendants,39-4021.00,Funeral Attendants,FUNERAL ASSISTANT,16,DMTF
39-4021,Funeral attendants,39-4021.00,Funeral Attendants,CREMATORY OPERATOR,10,ONET-DUP
39-4021,Funeral attendants,39-4021.00,Funeral Attendants,FSA,7,ONET-DUP
39-4021,Funeral attendants,39-4021.00,Funeral Attendants,FUNERAL ATTENDANT,3,DMTF
39-4021,Funeral attendants,39-4021.00,Funeral Attendants,FUNERAL HOME ASSISTANT,1,DMTF
39-4021,Funeral attendants,39-4021.00,Funeral Attendants,APPRENTICE FUNERAL DIRECTOR,1,ONET-DUP
39-4021,Funeral attendants,39-4021.00,Funeral Attendants,FUNERAL HOME ATTENDANT,1,ONET-DUP
39-4031,"Morticians, undertakers, and funeral directors",39-4031.00,"Morticians, Undertakers, and Funeral Directors",FUNERAL DIRECTOR,232,DMTF
39-4031,"Morticians, undertakers, and funeral directors",39-4031.00,"Morticians, Undertakers, and Funeral Directors",MORTICIAN,33,ONET-DM
39-4031,"Morticians, undertakers, and funeral directors",39-4031.00,"Morticians, Undertakers, and Funeral Directors",UNDERTAKER,7,ONET-DM
39-4031,"Morticians, undertakers, and funeral directors",39-4031.00,"Morticians, Undertakers, and Funeral Directors",FUNERAL ARRANGER,6,DMTF
39-5011,Barbers,39-5011.00,Barbers,BARBER,452,DMTF
39-5011,Barbers,39-5011.00,Barbers,MASTER BARBER,11,DMTF
39-5011,Barbers,39-5011.00,Barbers,BARBER INSTRUCTOR,1,ONET-DUP
39-5011,Barbers,39-5011.00,Barbers,TONSORIAL ARTIST,1,ONET-DUP
39-5012,"Hairdressers, hairstylists, and cosmetologists",39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",HAIRSTYLIST,1388,ONET-DM
39-5012,"Hairdressers, hairstylists, and cosmetologists",39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",HAIR STYLIST,936,DMTF
39-5012,"Hairdressers, hairstylists, and cosmetologists",39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",STYLIST,889,ONET-DUP
39-5012,"Hairdressers, hairstylists, and cosmetologists",39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",HAIRDRESSER,663,DMTF
39-5012,"Hairdressers, hairstylists, and cosmetologists",39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",COSMETOLOGIST,651,DMTF
39-5012,"Hairdressers, hairstylists, and cosmetologists",39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",BEAUTY ADVISOR,88,ONET-DUP
39-5012,"Hairdressers, hairstylists, and cosmetologists",39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",HAIR DRESSER,76,ONET-DM
39-5012,"Hairdressers, hairstylists, and cosmetologists",39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",BEAUTICIAN,28,DMTF
39-5012,"Hairdressers, hairstylists, and cosmetologists",39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",HAIR COLORIST,25,DMTF
39-5012,"Hairdressers, hairstylists, and cosmetologists",39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",MASTER COSMETOLOGIST,4,ONET-DUP
39-5012,"Hairdressers, hairstylists, and cosmetologists",39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",WIG STYLIST,3,DMTF
39-5012,"Hairdressers, hairstylists, and cosmetologists",39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",TRICHOLOGIST,3,ONET-DUP
39-5012,"Hairdressers, hairstylists, and cosmetologists",39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",HAIR AND MAKEUP DESIGNER,1,DMTF
39-5012,"Hairdressers, hairstylists, and cosmetologists",39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",BEAUTY OPERATOR,1,ONET-DM
39-5012,"Hairdressers, hairstylists, and cosmetologists",39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",HAIR SPECIALIST,1,ONET-DUP
39-5091,"Makeup artists, theatrical and performance",39-5091.00,"Makeup Artists, Theatrical and Performance",MAKEUP ARTIST,342,ONET-DM
39-5092,Manicurists and pedicurists,39-5092.00,Manicurists and Pedicurists,NAIL TECHNICIAN,68,DMTF
39-5092,Manicurists and pedicurists,39-5092.00,Manicurists and Pedicurists,MANICURIST,60,ONET-DUP
39-5092,Manicurists and pedicurists,39-5092.00,Manicurists and Pedicurists,NAIL ARTIST,1,ONET-DUP
39-5093,Shampooers,39-5093.00,Shampooers,HAIR DESIGNER,19,ONET-DUP
39-5093,Shampooers,39-5093.00,Shampooers,STYLIST ASSISTANT,4,ONET-DUP
39-5094,Skincare specialists,39-5094.00,Skincare Specialists,ESTHETICIAN,744,DMTF
39-5094,Skincare specialists,39-5094.00,Skincare Specialists,AESTHETICIAN,96,ONET-DUP
39-5094,Skincare specialists,39-5094.00,Skincare Specialists,MASTER ESTHETICIAN,10,ONET-DUP
39-5094,Skincare specialists,39-5094.00,Skincare Specialists,MEDICAL ESTHETICIAN,7,DMTF
39-5094,Skincare specialists,39-5094.00,Skincare Specialists,LICENSED ESTHETICIAN,5,DMTF
39-5094,Skincare specialists,39-5094.00,Skincare Specialists,SKIN CARE SPECIALIST,5,ONET-DUP
39-5094,Skincare specialists,39-5094.00,Skincare Specialists,SKIN CARE THERAPIST,3,ONET-DUP
39-5094,Skincare specialists,39-5094.00,Skincare Specialists,FACIALIST,2,DMTF
39-5094,Skincare specialists,39-5094.00,Skincare Specialists,NURSE ESTHETICIAN,2,ONET-DUP
39-5094,Skincare specialists,39-5094.00,Skincare Specialists,SPA TECHNICIAN,1,ONET-DUP
39-6011,Baggage porters and bellhops,39-6011.00,Baggage Porters and Bellhops,DOORMAN,176,ONET-DM
39-6011,Baggage porters and bellhops,39-6011.00,Baggage Porters and Bellhops,PORTER,167,ONET-DUP
39-6011,Baggage porters and bellhops,39-6011.00,Baggage Porters and Bellhops,BELLMAN,116,ONET-DUP
39-6011,Baggage porters and bellhops,39-6011.00,Baggage Porters and Bellhops,BAGGAGE HANDLER,16,ONET-DUP
39-6011,Baggage porters and bellhops,39-6011.00,Baggage Porters and Bellhops,SKYCAP,8,DMTF
39-6011,Baggage porters and bellhops,39-6011.00,Baggage Porters and Bellhops,BELLHOP,8,ONET-DUP
39-6011,Baggage porters and bellhops,39-6011.00,Baggage Porters and Bellhops,BELL PERSON,5,ONET-DUP
39-6011,Baggage porters and bellhops,39-6011.00,Baggage Porters and Bellhops,LOBBY PORTER,5,ONET-DUP
39-6011,Baggage porters and bellhops,39-6011.00,Baggage Porters and Bellhops,BELLPERSON,4,DMTF
39-6011,Baggage porters and bellhops,39-6011.00,Baggage Porters and Bellhops,BELLSTAFF,2,DMTF
39-6011,Baggage porters and bellhops,39-6011.00,Baggage Porters and Bellhops,LUGGAGE ATTENDANT,1,DMTF
39-6011,Baggage porters and bellhops,39-6011.00,Baggage Porters and Bellhops,BELL CLERK,1,ONET-DUP
39-6012,Concierges,39-6012.00,Concierges,CONCIERGE,421,DMTF
39-6012,Concierges,39-6012.00,Concierges,HOTEL CONCIERGE,8,DMTF
39-6012,Concierges,39-6012.00,Concierges,GUEST SERVICE SUPERVISOR,4,DMTF
39-6012,Concierges,39-6012.00,Concierges,CONCIERGES,1,ONET-DUP
39-6012,Concierges,39-6012.00,Concierges,CHIEF CONCIERGE,1,ONET-DUP
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,TOUR GUIDE,482,ONET-DUP
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,GUIDE,128,ONET-DUP
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,MUSEUM EDUCATOR,127,ONET-DM
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,DOCENT,52,ONET-DUP
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,STUDENT AMBASSADOR,47,ONET-DM
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,MUSEUM ASSISTANT,27,ONET-DUP
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,HISTORICAL INTERPRETER,24,DMTF
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,MUSEUM GUIDE,15,DMTF
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,PARK GUIDE,13,ONET-DUP
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,WILDERNESS GUIDE,13,ONET-DUP
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,MUSEUM ATTENDANT,11,ONET-DUP
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,ADVENTURE GUIDE,10,ONET-DUP
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,FISHING GUIDE,9,ONET-DM
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,MOUNTAIN GUIDE,9,ONET-DUP
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,WELLNESS GUIDE,9,ONET-DUP
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,PRESENTER,8,ONET-DM
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,OUTDOOR GUIDE,8,ONET-DUP
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,TOUR DRIVER,5,ONET-DUP
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,MUSEUM TOUR GUIDE,3,ONET-DUP
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,TOURIST GUIDE,2,DMTF
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,DRIVER/GUIDE,2,ONET-DUP
39-7011,Tour guides and escorts,39-7011.00,Tour Guides and Escorts,SITE ATTENDANT,1,ONET-DUP
39-7012,Travel guides,39-7012.00,Travel Guides,TOUR MANAGER,84,ONET-DUP
39-7012,Travel guides,39-7012.00,Travel Guides,TOUR OPERATOR,74,ONET-DM
39-7012,Travel guides,39-7012.00,Travel Guides,TOUR DIRECTOR,42,DMTF
39-7012,Travel guides,39-7012.00,Travel Guides,TOUR COORDINATOR,9,DMTF
39-7012,Travel guides,39-7012.00,Travel Guides,TRAVEL GUIDE,8,DMTF
39-7012,Travel guides,39-7012.00,Travel Guides,CRUISE CONSULTANT,6,ONET-DUP
39-7012,Travel guides,39-7012.00,Travel Guides,TOUR CONSULTANT,5,ONET-DUP
39-7012,Travel guides,39-7012.00,Travel Guides,CRUISE DIRECTOR,2,DMTF
39-7012,Travel guides,39-7012.00,Travel Guides,CRUISE AGENT,2,ONET-DUP
39-7012,Travel guides,39-7012.00,Travel Guides,CRUISE COUNSELOR,2,ONET-DUP
39-7012,Travel guides,39-7012.00,Travel Guides,CRUISE COORDINATOR,1,ONET-DUP
39-7012,Travel guides,39-7012.00,Travel Guides,DATA WRANGLER,1,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,NANNY,1998,DMTF
39-9011,Childcare workers,39-9011.00,Childcare Workers,CHILDCARE,333,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,CHILD CARE,279,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,CHILDCARE PROVIDER,177,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,CHILD CARE PROVIDER,170,ONET-DM
39-9011,Childcare workers,39-9011.00,Childcare Workers,DAYCARE PROVIDER,141,DMTF
39-9011,Childcare workers,39-9011.00,Childcare Workers,DAYCARE TEACHER,76,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,CHILDCARE WORKER,72,DMTF
39-9011,Childcare workers,39-9011.00,Childcare Workers,CHILD CARE WORKER,49,ONET-DM
39-9011,Childcare workers,39-9011.00,Childcare Workers,DAYCARE WORKER,36,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,TODDLER TEACHER,33,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,CHILD LIFE SPECIALIST,32,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,INFANT TEACHER,23,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,CHILD CARE TEACHER,17,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,AFTER SCHOOL COUNSELOR,11,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,DAYCARE ASSISTANT,10,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,DAY CARE WORKER,9,DMTF
39-9011,Childcare workers,39-9011.00,Childcare Workers,BABY SITTER,7,DMTF
39-9011,Childcare workers,39-9011.00,Childcare Workers,CHILD CARE ASSISTANT,7,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,AU PAIR,6,DMTF
39-9011,Childcare workers,39-9011.00,Childcare Workers,PARENT AIDE,5,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,AFTER SCHOOL COORDINATOR,4,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,CHILD CARE AIDE,4,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,HOME CHILD CARE PROVIDER,4,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,CHILDCARE ATTENDANT,3,DMTF
39-9011,Childcare workers,39-9011.00,Childcare Workers,CHILD CARE SUPERVISOR,3,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,CHILDCARE AIDE,2,DMTF
39-9011,Childcare workers,39-9011.00,Childcare Workers,DAY CARE ASSISTANT,2,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,DAY CARE ATTENDANT,1,DMTF
39-9011,Childcare workers,39-9011.00,Childcare Workers,DAYCARE AIDE,1,DMTF
39-9011,Childcare workers,39-9011.00,Childcare Workers,GOVERNESS,1,DMTF
39-9011,Childcare workers,39-9011.00,Childcare Workers,CLASSROOM MONITOR,1,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,DAY CARE SUPERVISOR,1,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,FAMILY DAY CARE PROVIDER,1,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,NURSERY ATTENDANT,1,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,PLAYGROUND ATTENDANT,1,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,PLAYGROUND SUPERVISOR,1,ONET-DUP
39-9011,Childcare workers,39-9011.00,Childcare Workers,PLAYROOM ATTENDANT,1,ONET-DUP
39-9011,Childcare workers,39-9011.01,Nannies,BABYSITTER,112,ONET-DUP
39-9011,Childcare workers,39-9011.01,Nannies,CHILDCARE PROFESSIONAL,7,ONET-DUP
39-9021,Personal care aides,39-9021.00,Personal Care Aides,HOMEMAKER,1174,ONET-DM
39-9021,Personal care aides,39-9021.00,Personal Care Aides,PERSONAL ASSISTANT,549,ONET-DUP
39-9021,Personal care aides,39-9021.00,Personal Care Aides,DIRECT SUPPORT PROFESSIONAL,370,ONET-DUP
39-9021,Personal care aides,39-9021.00,Personal Care Aides,PCA,312,ONET-DUP
39-9021,Personal care aides,39-9021.00,Personal Care Aides,CARETAKER,308,ONET-DUP
39-9021,Personal care aides,39-9021.00,Personal Care Aides,CARE PROVIDER,162,ONET-DM
39-9021,Personal care aides,39-9021.00,Personal Care Aides,SUPPORT STAFF,140,ONET-DM
39-9021,Personal care aides,39-9021.00,Personal Care Aides,CARE MANAGER,130,ONET-DUP
39-9021,Personal care aides,39-9021.00,Personal Care Aides,PROVIDER,74,ONET-DM
